                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2997,                 1.4129,                 1.2406,                0.69138,                0.62295,                0.67048,                0.33997,                 1.6035,                 1.5036,                 1.4058,             0.00066308,             0.00066308,             0.00066308
                      2,                 1.3372,                0.99061,                 1.2443,                0.77169,                 0.7541,                0.81508,                0.43397,                 1.5461,                 1.0994,                 1.3266,              0.0011981,              0.0011981,              0.0011981
                      3,                 1.2864,                0.84403,                 1.2109,                   0.76,                 0.7623,                0.84675,                0.48272,                 1.4635,                 1.0289,                 1.3579,              0.0016011,              0.0016011,              0.0016011
                      4,                 1.2746,                0.80471,                 1.2144,                0.83487,                0.84016,                0.89754,                0.52537,                 1.4143,                 0.8242,                 1.2846,               0.001406,               0.001406,               0.001406
                      5,                 1.2119,                0.72122,                 1.1841,                0.90221,                0.84426,                0.93417,                0.56681,                 1.3182,                0.76378,                 1.2422,               0.001406,               0.001406,               0.001406
                      6,                 1.1677,                0.66522,                 1.1525,                0.88338,                0.90027,                 0.9485,                 0.6224,                 1.2187,                0.67023,                 1.1626,               0.001208,               0.001208,               0.001208
                      7,                 1.1332,                0.62948,                 1.1284,                0.94479,                0.88115,                0.96845,                0.62208,                 1.2265,                0.62397,                 1.1928,                0.00101,                0.00101,                0.00101
                      8,                 1.0749,                 0.5772,                  1.105,                0.91141,                0.95082,                0.97318,                0.65149,                 1.1996,                0.59277,                 1.1484,               0.000812,               0.000812,               0.000812
                      9,                 1.0302,                 0.5289,                 1.0766,                0.95705,                0.97541,                0.98919,                0.68532,                 1.1546,                0.53078,                 1.1119,               0.000614,               0.000614,               0.000614
                     10,                 1.0024,                0.50213,                 1.0533,                0.95878,                0.95317,                 0.9861,                0.69693,                 1.1257,                0.50446,                 1.1037,               0.000416,               0.000416,               0.000416
