                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.209,                 1.8101,                 1.2487,                0.93097,                0.59345,                0.85203,                0.51571,                 1.2665,                 1.9233,                 1.2393,             0.00065248,             0.00065248,             0.00065248
                      2,                 1.2113,                 1.1259,                 1.2353,                0.73338,                0.67115,                0.74241,                0.42346,                 1.3841,                 1.4523,                 1.3514,              0.0011886,              0.0011886,              0.0011886
                      3,                 1.2072,                 1.0241,                 1.2278,                0.80704,                0.72494,                 0.8168,                0.44557,                 1.4569,                 1.2713,                 1.4026,              0.0015926,              0.0015926,              0.0015926
                      4,                 1.1904,                0.92795,                 1.2111,                0.76572,                0.71035,                0.78345,                0.45758,                 1.3947,                 1.2547,                 1.3599,               0.001406,               0.001406,               0.001406
                      5,                 1.1568,                0.86954,                  1.178,                0.84541,                0.83125,                0.90249,                0.56742,                 1.2414,                0.92364,                 1.2173,               0.001406,               0.001406,               0.001406
                      6,                 1.1144,                 0.8224,                 1.1623,                0.88495,                0.88133,                 0.9364,                0.63373,                 1.0889,                0.79742,                 1.1509,               0.001208,               0.001208,               0.001208
                      7,                 1.0377,                0.74235,                 1.1091,                0.86053,                0.81446,                0.90711,                0.62621,                 1.0681,                 0.8354,                 1.1274,                0.00101,                0.00101,                0.00101
                      8,                0.96382,                0.67925,                 1.0849,                0.90334,                0.85976,                0.93661,                0.67188,                 1.0067,                0.72858,                 1.1047,               0.000812,               0.000812,               0.000812
                      9,                0.91693,                 0.6078,                 1.0497,                0.95354,                  0.912,                0.97598,                0.72401,                0.92328,                0.58191,                 1.0605,               0.000614,               0.000614,               0.000614
                     10,                0.85534,                0.54692,                 1.0229,                0.95912,                 0.9384,                0.97778,                0.74484,                0.87889,                0.53928,                 1.0415,               0.000416,               0.000416,               0.000416
