                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.377,                 2.8219,                 1.3596,                0.80877,                0.25939,                0.60126,                 0.2904,                 1.1745,                 2.4491,                 1.0419,                0.00026,                0.00026,                0.00026
                      2,                 1.2411,                 1.3208,                 1.2062,                0.80712,                0.75321,                0.84728,                0.54529,                 1.0879,                  1.399,                 1.0703,             0.00052931,             0.00052931,             0.00052931
                      3,                 1.1412,                 1.1063,                 1.1604,                0.92035,                0.70871,                0.84556,                 0.5512,                 1.1573,                 1.6087,                 1.1358,             0.00078753,             0.00078753,             0.00078753
                      4,                 1.1306,                 1.0269,                 1.1678,                0.71111,                0.68266,                0.68867,                0.37086,                 1.3287,                 1.7534,                 1.2966,              0.0010347,              0.0010347,              0.0010347
                      5,                 1.1487,                0.97917,                 1.1716,                0.59713,                0.73467,                0.62767,                0.33664,                 1.3405,                 1.5416,                 1.3694,              0.0012707,              0.0012707,              0.0012707
                      6,                 1.1843,                0.99938,                 1.1851,                0.48209,                0.37333,                0.36294,                 0.1888,                 1.5132,                 2.4062,                 1.4931,              0.0014957,              0.0014957,              0.0014957
                      7,                 1.1451,                 0.9524,                 1.1826,                0.54322,                0.34725,                0.37675,                0.18655,                 1.8405,                 2.2331,                 1.6608,              0.0017095,              0.0017095,              0.0017095
                      8,                  1.168,                0.95027,                 1.1894,                0.54854,                0.59733,                0.53791,                0.31645,                 1.4401,                 1.5664,                 1.4903,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.158,                0.91063,                 1.1849,                0.50479,                  0.424,                0.42381,                0.20857,                 1.6891,                 2.3923,                 1.7244,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1566,                0.91049,                 1.1759,                 0.7627,                  0.652,                 0.7373,                0.43255,                 1.3895,                 1.3816,                 1.3935,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1327,                0.87852,                 1.1646,                0.86023,                0.75467,                0.82077,                0.53051,                 1.1739,                 1.0828,                 1.2038,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0892,                0.80101,                 1.1426,                 0.8944,                0.81308,                0.89331,                0.59857,                 1.0901,                0.95436,                 1.2044,               0.001604,               0.001604,               0.001604
                     13,                 1.0452,                0.77082,                   1.13,                0.87128,                 0.6949,                0.80336,                0.52951,                 1.1701,                 1.0384,                 1.2217,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1037,                0.80683,                 1.1486,                 0.9285,                0.88303,                0.95107,                0.66471,                 1.0378,                0.73097,                  1.139,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.0117,                 0.7411,                 1.1129,                0.87094,                 0.7828,                0.87607,                0.59083,                 1.0996,                0.79729,                 1.1883,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0375,                0.74161,                 1.1164,                 0.9053,                0.87946,                0.92804,                 0.6567,                 1.0027,                0.69705,                 1.1304,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0221,                  0.732,                 1.1147,                0.94782,                0.91867,                0.96558,                0.69408,                 0.9792,                0.62886,                  1.075,               0.001406,               0.001406,               0.001406
                     18,                 1.0132,                0.71084,                   1.11,                0.90794,                0.91733,                 0.9606,                0.68936,                0.97143,                0.62009,                 1.0975,              0.0013664,              0.0013664,              0.0013664
                     19,                0.98218,                0.68946,                  1.095,                 0.9057,                0.87333,                0.94249,                0.67166,                0.98784,                0.66316,                 1.0912,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0106,                0.69325,                 1.1094,                0.91841,                  0.852,                0.93739,                 0.6793,                0.98082,                0.70425,                 1.0822,              0.0012872,              0.0012872,              0.0012872
                     21,                0.96726,                 0.6628,                 1.0935,                0.93988,                0.91716,                0.95939,                0.70145,                  0.947,                0.59645,                 1.0777,              0.0012476,              0.0012476,              0.0012476
                     22,                0.97262,                0.67223,                  1.097,                0.94677,                0.90133,                0.95809,                0.69476,                0.96093,                0.56772,                   1.09,               0.001208,               0.001208,               0.001208
                     23,                 0.9156,                0.62581,                 1.0654,                0.92987,                0.91067,                0.95972,                0.70642,                0.94514,                0.55893,                 1.0704,              0.0011684,              0.0011684,              0.0011684
                     24,                0.91529,                 0.6253,                 1.0632,                0.92962,                0.91583,                0.95469,                0.70427,                0.88555,                0.58088,                  1.056,              0.0011288,              0.0011288,              0.0011288
                     25,                0.93277,                0.63154,                 1.0792,                0.95502,                0.93418,                0.98081,                0.72804,                0.86883,                0.51813,                 1.0498,              0.0010892,              0.0010892,              0.0010892
                     26,                0.91443,                0.60669,                  1.062,                0.93371,                0.91067,                0.96353,                0.72534,                 0.9052,                0.55555,                 1.0559,              0.0010496,              0.0010496,              0.0010496
